Orders Order Number,Orders Shipping Zipcode,Orders Shipping State,Orders Received Date,Orders Line Items Count,Orders Total Weight,Orders Cart Value
12178,89014,NV,2019-07-26,1,90,$28.80
11880,89014,NV,2019-07-04,1,90,$33.60
11927,89015,NV,2019-07-07,3,679,$99.20
12123,89103,NV,2019-07-21,1,0,$57.80
11878,89169,NV,2019-07-04,2,543,$56.10
11845,89423,NV,2019-07-02,2,453,$58.00
12033,89449,NV,2019-07-13,2,453,$59.00
12004,89509,NV,2019-07-11,1,453,$44.20
12074,90025,CA,2019-07-15,1,453,$52.00
11989,90026,CA,2019-07-11,1,0,$40.00
11990,90027,CA,2019-07-11,3,90,$80.00
11984,90034,CA,2019-07-10,5,"1,019",$92.00
11902,90038,CA,2019-07-05,2,203,$46.00
12096,90046,CA,2019-07-18,3,294,$56.00
12132,90066,CA,2019-07-22,3,543,$128.00
12025,90230,CA,2019-07-13,1,0,$40.00
12127,90232,CA,2019-07-22,1,454,$14.00
12191,90232,CA,2019-07-27,2,545,$72.00
11801,90266,CA,2019-06-30,1,23,$70.20
12156,90277,CA,2019-07-24,1,0,$54.40
11867,90277,CA,2019-07-04,1,67,$28.00
11981,90291,CA,2019-07-10,2,136,$52.80
11840,90505,CA,2019-07-02,4,634,$126.20
11794,90660,CA,2019-06-29,1,90,$57.80
12097,91104,CA,2019-07-18,2,906,$56.00
11813,91202,CA,2019-06-30,5,"1,087",$294.40
12101,91203,CA,2019-07-19,2,181,$57.12
12137,91306,CA,2019-07-22,4,543,$87.40
11830,91342,CA,2019-07-02,1,90,$54.40
12042,91343,CA,2019-07-14,1,0,$40.80
11919,91364,CA,2019-07-06,3,158,$105.80
12103,91504,CA,2019-07-19,3,271,$74.80
11892,91710,CA,2019-07-05,1,90,$42.00
12192,91790,CA,2019-07-27,3,"1,360",$108.80
11872,91932,CA,2019-07-04,1,90,$68.00
12099,92011,CA,2019-07-18,3,457,$94.40
12114,92075,CA,2019-07-20,2,0,$96.00
11879,92078,CA,2019-07-04,1,453,$44.20
11915,92101,CA,2019-07-06,1,90,$22.40
11904,92102,CA,2019-07-05,1,453,$44.20
12195,92104,CA,2019-07-28,1,90,$42.00
12059,92104,CA,2019-07-15,4,747,$76.80
12110,92117,CA,2019-07-19,4,702,$99.40
12153,92135,CA,2019-07-23,2,543,$66.80
12167,92337,CA,2019-07-25,1,453,$32.20
11994,92346,CA,2019-07-11,2,0,$53.00
12202,92606,CA,2019-07-29,2,544,$39.00
12000,92627,CA,2019-07-11,2,181,$36.80
12019,92647,CA,2019-07-12,2,181,$56.00
12179,92649,CA,2019-07-26,1,454,$46.60
11818,92677,CA,2019-07-01,1,67,$27.40
11991,92879,CA,2019-07-11,1,0,$27.40
12061,92887,CA,2019-07-15,4,"1,109",$110.60
11807,93013,CA,2019-06-30,2,67,$54.40
12007,93030,CA,2019-07-12,3,543,$66.30
11992,93103,CA,2019-07-11,4,906,$127.50
11983,94015,CA,2019-07-10,2,453,$92.00
12100,94102,CA,2019-07-19,4,634,$114.60
12163,94103,CA,2019-07-24,2,0,$116.00
12130,94103,CA,2019-07-22,1,0,$45.00
12088,94103,CA,2019-07-17,2,543,$52.80
11911,94107,CA,2019-07-05,2,67,$54.00
11816,94109,CA,2019-06-30,3,520,$80.00
11986,94110,CA,2019-07-10,3,656,$61.10
11873,94111,CA,2019-07-04,2,90,$76.00
11829,94115,CA,2019-07-01,1,453,$37.30
11993,94123,CA,2019-07-11,1,0,$33.00
11792,94131,CA,2019-06-29,3,520,$62.40
11842,94301,CA,2019-07-02,3,703,$56.10
12052,94304,CA,2019-07-15,1,453,$43.00
11869,94404,CA,2019-07-04,1,453,$41.60
12035,94501,CA,2019-07-13,2,90,$54.40
12017,94526,CA,2019-07-12,1,453,$52.00
12057,94596,CA,2019-07-15,2,543,$60.00
11858,94612,CA,2019-07-04,3,204,$103.60
11946,94705,CA,2019-07-08,1,0,$39.00
11833,94707,CA,2019-07-02,1,453,$44.20
12095,94710,CA,2019-07-18,6,"1,336",$147.40
11793,94903,CA,2019-06-29,3,656,$56.00
11825,94903,CA,2019-07-01,3,67,$76.80
12072,95361,CA,2019-07-15,2,90,$80.00
11849,95401,CA,2019-07-03,6,"1,200",$120.80
11884,95407,CA,2019-07-04,2,249,$85.00
11875,95546,CA,2019-07-04,4,657,$131.20
11817,95661,CA,2019-07-01,1,90,$54.40
12006,95682,CA,2019-07-12,1,453,$73.60
11948,95746,CA,2019-07-08,5,702,$111.60
11947,95747,CA,2019-07-08,5,860,$95.10
11811,95762,CA,2019-06-30,1,0,$39.00
12041,95818,CA,2019-07-14,2,453,$62.40
11812,95829,CA,2019-06-30,2,906,$59.50
12160,95901,CA,2019-07-24,1,453,$5.00
11876,95954,CA,2019-07-04,2,453,$40.00
11881,96001,CA,2019-07-04,2,181,$110.00
12029,97071,OR,2019-07-13,2,0,$51.00
11838,97115,OR,2019-07-02,2,90,$92.80
11979,97123,OR,2019-07-10,1,90,$33.60
11977,97123,OR,2019-07-10,1,453,$10.00
11953,97128,OR,2019-07-08,1,0,$39.00
11967,97140,OR,2019-07-10,3,906,$89.00
11925,97203,OR,2019-07-07,6,"1,155",$110.00
11882,97206,OR,2019-07-04,1,67,$23.80
12166,97209,OR,2019-07-25,2,91,$73.44
11954,97214,OR,2019-07-08,1,453,$44.20
11913,97214,OR,2019-07-05,1,90,$57.80
11978,97215,OR,2019-07-10,3,566,$63.00
12071,97221,OR,2019-07-15,3,90,$82.00
11934,97229,OR,2019-07-07,2,520,$52.80
11926,97230,OR,2019-07-07,2,181,$45.90
11874,97333,OR,2019-07-04,1,90,$23.80
11956,97520,OR,2019-07-09,1,90,$33.60
11943,98011,WA,2019-07-08,4,611,$91.00
11808,98033,WA,2019-06-30,3,996,$70.56
11855,98033,WA,2019-07-03,2,68,$64.60
11800,98042,WA,2019-06-30,4,"1,494",$146.00
11975,98103,WA,2019-07-10,4,204,$147.00
11955,98106,WA,2019-07-08,1,0,$39.00
11864,98115,WA,2019-07-04,1,90,$35.70
12126,98122,WA,2019-07-21,1,90,$56.00
12181,98204,WA,2019-07-26,3,635,$86.40
12037,98221,WA,2019-07-14,1,0,$45.00
11834,98223,WA,2019-07-02,1,90,$27.40
11823,98230,WA,2019-07-01,2,90,$68.00
11798,98258,WA,2019-06-30,4,792,$76.40
11835,98501,WA,2019-07-02,3,226,$107.20
12013,98579,WA,2019-07-12,1,453,$30.60
11939,98604,WA,2019-07-08,3,566,$75.00
12044,98903,WA,2019-07-14,1,0,$28.80
11852,99324,WA,2019-07-03,1,0,$39.00
12081,99654,AK,2019-07-17,5,"1,540",$142.40
